procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 367104 148460  42008 898668   10  101   894  2866 1623 1345 25 13 53  9  0
 1  0 367104 150476  42016 898636   40    0    60     0  456  895 85 15  0  0  0
 2  0 367104 150700  42016 898636    0    0     0     0  447  734 84 16  0  0  0
 2  0 367104 146948  42024 898628    0    0     0   124  430  751 83 17  0  0  0
 1  0 367104 147704  42024 898636    0    0     0     0  413  694 81 19  0  0  0
 1  3 367104 226880  42024 897636    0    0   540     4  384  847 71 16  9  4  0
 2  0 367104 198336  42024 898428    0    0   792     0 1042  307 90 10  0  0  0
 0  2 367104 110408  42024 981928    0    0   900 50624 1340  479 36 16  0 47  0
 1  0 367104 232212  42024 899804    0    0     4 30204 1306  661 52 11  0 36  0
 1  0 367104 213264  42032 899984    0    0    92   148 1417  843 76 13  0 11  0
 1  0 367104 181016  42032 899964    0    0     0     0 1568  588 84 16  0  0  0
 0  1 367104 126332  42032 942812    0    0     0 28672 2285  712 69 22  0  8  0
 1  1 367104 163664  42036 904060    0    0    16 56480 2664  628  6 27  0 67  0
 1  0 367104 185808  42232 904556    0    0   124  3188 2902 1722 52 27  0 21  0
 1  0 367104 245388  42332 862340    0    0   108  2216 2592 1303 69 24  0  6  0
 1  0 367104 226936  42332 862348    0    0     0     0 2717  758 78 22  0  0  0
 1  0 367104 220100  42332 902160    4    0     4 40384 3204 1031 40 36  0 24  0
 2  0 367104 193820  42332 902096    0    0     0     0 3152 1160 72 28  0  0  0
 1  0 367104 175252  42332 902104    0    0     0     0 3942  904 71 29  0  0  0
 1  0 367104 110724  42344 959928    0    0     0 40528 4378  969 48 33  0 19  0
 2  0 367104 161108  42344 901772    0    0     0 40444 4067  920 41 34  0 24  0
 1  0 367104 151972  42344 901788    0    0     0     0 4692 1107 68 32  0  0  0
 1  0 367104 158756  42344 901872    0    0     0     0 4689 1206 65 35  0  0  0
 1  0 367104 155728  42344 901880    0    0     0  2244 5030 1177 58 42  0  0  0
 3  0 367104 157488  42352 901896    0    0     0   160 5443 1185 53 47  0  0  0
 2  0 367104 156736  42352 901912    0    0     0     0 5477 1082 57 43  0  0  0
 1  0 367104 157712  42352 901928    0    0     0     0 5130 1152 55 45  0  0  0
 2  0 367104 156004  42352 901944    0    0     0     0 5813 1131 50 50  0  0  0
 3  0 367104 157040  42352 901960    0    0     0     0 6164 1184 53 47  0  0  0
 1  0 367104 155444  42360 901980    0    0     0    16 5392 1213 54 46  0  0  0
 1  0 367104 153396  42360 901996    0    0     0     0 5248 1185 51 49  0  0  0
 1  0 367104 154656  42360 902016    0    0     0     0 5437 1178 56 44  0  0  0
 1  0 367104 238188  42376 900488    0    0     0   120 5658 1668 56 40  4  0  0
 1  0 367104 219792  42376 900500    0    0     0     4 5370 1091 64 36  0  0  0
 3  0 367104 207128  42376 900520    0    0     0     0 6114 1039 60 40  0  0  0
 0  1 367104 160572  42376 941504    0    0     0 28672 5619 1162 49 43  0  7  0
 1  0 367104 200364  42376 900964    0    0     0 52156 5907 1141 15 54  0 31  0
 0  1 367104 240968  42384 900932    4    0     4   112 5767 1205 64 35  0  1  0
 2  0 367104 221360  42384 900892    0    0     0   412 6192 1125 61 39  0  0  0
 6  0 367104 220060  42384 900984    0    0     0     0 5482 1714 65 35  0  0  0
 2  0 367104 203364  42384 900992    0    0     0     0 5514 1236 61 39  0  0  0
 1  0 367104 188000  42384 901008    0    0     0     0 5065 1021 65 35  0  0  0
 1  0 367104 178928  42392 901036    0    0     0    76 6186 1131 67 33  0  0  0
 0  1 367104 173848  42392 905176    0    0    16 85148 5534 1126  9 53  0 38  0
 1  0 367104 215672  42412 908148    0    0   280  2840 6307 1493 41 51  0  8  0
 7  0 367104 182736  42984 910800    0    0   380  5564 7086 2351 43 50  0  7  0
 2  1 367104 173908  44004 918980    0    0   448  5056 7794 5182 13 55  0 32  0
 6  0 367104 212240  44120 918988    0    0     8  4840 7083 3636 11 54  0 35  0
10  1 366848 256920  44208 877388  124    0   464  4648 6098 1806 37 49  0 14  0
 2  0 366848 244476  44208 877408    0    0   308     0 5432 1220 60 40  0  0  0
 1  0 366848 226012  44224 877420    0    0     0   164 6539 1091 57 43  0  0  0
 1  0 366848 220100  44224 877484    0    0     0     0 6646 1083 53 47  0  0  0
 1  0 366848 215564  44224 917460    0    0     0 40384 5605 1059 33 45  0 22  0
 1  0 366848 197908  44224 917444    0    0     0     0 5529 1427 57 43  0  0  0
 2  0 366848 179000  44224 917432    8    0     8     0 6113 1184 62 38  0  0  0
 1  0 366848 167164  44236 917432    0    0     0   136 5728 1008 64 36  0  0  0
 0  1 366848 122308  44236 958060    0    0     0 32768 6380 1117 43 49  0  9  0
 3  0 366848 155744  44236 916900    0    0     0 48060 5990 1153 26 49  0 26  0
 2  0 366848 154220  44236 917008    0    0     0     0 5631 1245 60 40  0  0  0
 4  0 366848 142260  44236 916952    0    0     0  1880 6733 1366 56 44  0  0  0
 1  0 366848 140372  44244 916988    0    0     0    92 5785 1155 54 46  0  0  0
 2  0 366848 136008  44260 917080    4    0     4    92 5920 1147 57 43  0  0  0
 2  0 366848 139616  44260 917072    0    0     0     0 5912 1157 53 47  0  0  0
 2  0 366848 138544  44260 917092    0    0     0     0 6130 1311 55 45  0  0  0
 5  0 366848 136872  44276 917168    0    0     0    92 6306 1323 51 49  0  0  0
 1  0 366848 135488  44288 917184    0    0    12   100 6357 2147 57 43  0  0  0
 1  0 366848 133724  44304 917220    0    0     4   180 5681 1350 57 43  0  0  0
 4  0 366848 134980  44312 917256    0    0     0    40 6020 1407 58 42  0  0  0
 3  0 366848 130128  44312 917276    0    0     0     0 6666 1330 51 49  0  0  0
 1  0 366848 130196  44328 917284    4    0     8   764 5680 1469 58 42  0  0  0
 1  0 366848 182556  44336 917360    0    0     0    88 6492 1541 51 49  0  0  0
 1  0 366848 208688  44336 915772    0    0     0     4 5503 1526 52 47  1  0  0
 4  0 366848 189472  44336 915792    0    0     0     0 5801 1163 68 32  0  0  0
 2  0 366848 179076  44352 915728    0    0     0   288 5667 1211 64 36  0  0  0
 1  0 366848 114440  44352 976440    0    0     0 40384 5578 1157 37 44  0 19  0
 1  0 366848 172840  44352 916548    0    0     8 40444 5304 1213 28 43  0 29  0
 4  0 366848 212808  44360 916584    4    0     4   112 5913 1329 64 36  0  0  0
 2  0 366848 201568  44360 916608    0    0     0     0 6024 1405 59 41  0  0  0
 6  0 366848 175820  44364 916652   16    0    20     0 6090 1454 53 47  0  0  0
 2  0 366848 165664  44380 916604    4    0     4   264 5802 1334 60 40  0  0  0
 2  0 366848 148844  44380 916616    0    0     0     0 6612 1102 60 40  0  0  0
 2  0 366848 131204  44380 916696    0    0     4     0 6307 1128 67 33  0  0  0
 2  0 366848 117344  44380 916712    0    0     0     0 6668 1142 57 43  0  0  0
 6  0 366848 105620  44380 916768    0    0     0     0 5834 1169 68 32  0  0  0
 1  2 367360  75896  44256 940424    0  516     0 25912 5145 1213 61 39  0  0  0
 3  0 370176  76548  44260 931396    0 2712     0 61884 5485 1435 55 42  0  4  0
 3  0 370176 205276  44260 848808    0    0    48  1644 6241 1278 57 43  0  0  0
 5  0 370176 203952  44260 848732    0    0     4    88 5228 1503 60 40  0  0  0
 2  0 370176 155312  44532 848860    0    0   336   372 5237 1787 63 35  0  2  0
 3  0 370176 187056  44684 850812    0    0   180  4696 5751 2727 49 51  0  0  0
 2  0 370176 180748  44688 851084    0    0    16     0 5965 1176 56 44  0  0  0
 2  0 370176 195388  44720 853008    0    0     0  1876 5726 1382 56 44  0  0  0
 2  0 370176 187088  44720 853008    0    0     0     0 5164 1130 60 40  0  0  0
 4  0 370176 180624  44720 853024    0    0     0     0 6053 1201 61 39  0  0  0
 3  0 370176 173384  44720 853044    0    0     0     0 6317 1240 56 44  0  0  0
 3  0 370176 164720  44720 853060    0    0     0     0 5883 1385 61 39  0  0  0
 2  0 370176 160240  44728 853076    4    0     4    72 4646 1266 63 37  0  0  0
 2  0 370176 154316  44728 853116    0    0     0     0 6274 1216 63 37  0  0  0
 5  0 370176 156332  44728 893220    0    0     0 40384 5519 1415 44 56  0  0  0
 6  0 370176 143504  44728 893272    0    0     0     0 5291 1378 65 35  0  0  0
 4  0 370176 139444  44728 893192    0    0     0     0 6095 1153 54 46  0  0  0
 2  0 370176 129112  44740 893196    0    0     0   120 6053 1246 56 44  0  0  0
 3  0 370176 117516  44748 893228    0    0     0    44 6453 1174 56 44  0  0  0
 3  0 370176 108700  44764 893296    0    0     0    84 5663 1288 59 41  0  0  0
 2  0 370176 105928  44764 893304    0    0     0     0 6300 1168 64 36  0  0  0
 6  0 370176  98320  44764 893388    0    0     0     0 5556 1338 63 38  0  0  0
 1  1 372736  81004  44764 919184    0 2700     0 73804 5370 1367 47 53  0  0  0
 3  0 372736 154016  44792 836368    0    0     0 10028 6535 1307 53 47  0  0  0
 2  0 372736 269944  44816 795412    0    0   220   252 5585 1453 62 38  0  0  0
 1  0 372736 262336  44816 795480    0    0     0     0 5539 1326 60 40  0  0  0
 1  0 372736 256856  44816 795500    0    0     0     0 6089 1414 62 38  0  0  0
 6  0 372736 253496  44828 795416    0    0     0   224 6955 1273 51 49  0  0  0
 1  0 372736 253068  44828 795436    0    0     0     0 6870 1151 53 47  0  0  0
 2  0 372736 254580  44828 795452    0    0     0     0 5816 1213 51 49  0  0  0
 2  0 372736 254352  44836 795540    0    0    12    44 5771 1343 64 36  0  0  0
 1  0 372736 254800  44844 795596    0    0     0  1208 6186 1397 48 52  0  0  0
 1  0 372736 254012  44844 795680    0    0     0     0 6239 1284 54 46  0  0  0
 1  0 372736 252216  44844 795676    0    0     0     0 6745 1277 47 53  0  0  0
 1  0 372736 251428  44868 795708    0    0    40   332 6454 1928 54 46  0  0  0
 1  0 372736 249884  44868 795728    0    0     0     0 6233 1191 51 49  0  0  0
 0  0 372736 335612  44868 795860    0    0     8   168 6215 1440 48 46  5  0  0
 1  0 372736 323784  44868 794396    0    0     0     0 5178 1267 61 37  2  0  0
 1  0 372736 305892  44884 794356    0    0     0   368 5548 1125 63 37  0  0  0
 4  0 372736 297828  44884 794388    0    0     0     0 5907 1189 59 41  0  0  0
 0  1 372736 214408  44884 877012    0    0     0 59840 5983 1226 16 51  0 34  0
 3  0 372736 296388  44884 795048    0    0     8 21100 5541 1119 35 43  0 22  0
 1  0 372736 321832  44884 795064    0    0     0   444 5765 1235 64 36  0  0  0
 3  0 372736 315744  44892 795104    0    0     0   180 6937 1339 54 46  0  0  0
 3  0 372736 295960  44892 795108    0    0     0     0 6318 1096 62 38  0  0  0
 8  0 372736 281880  44892 795124    0    0     0     0 6075 1131 60 40  0  0  0
 0  1 372736 230888  44892 837896    0    0     0 22528 5507 1325 56 39  0  5  0
 3  0 372736 313552  44896 799060    0    0    48 62620 5457 1191  7 54  0 39  0
 0  1 372736 285780  44944 799136    0    0     4   428 5969 1686 52 47  0  1  0
 2  0 372736 361964  45152 757132    0    0    32  4924 5842 2217 44 49  0  6  0
 1  0 372736 341548  45152 757120    0    0     0     0 5830 1155 62 38  0  0  0
 1  0 372736 332172  45152 757136    0    0     0     0 6518 1176 65 35  0  0  0
 1  1 372736 285920  45156 798404    4    0     4 39940 5517 1252 34 45  0 21  0
 2  0 372736 310444  45156 797144    0    0     0   444 5886 1805 55 45  0  0  0
 1  0 372736 291324  45168 797156    0    0     0   140 5763 1188 65 35  0  0  0
 2  0 372736 278276  45172 797280   24    0   132     0 7016 1209 51 49  0  0  0
 1  1 372736 232860  45172 837840    0    0     0 38908 5288 1257 45 39  0 16  0
 1  0 372736 266040  45172 796808    0    0     0 42472 5814 1217 23 49  0 28  0
 1  0 372736 264136  45172 797040    0    0     0     0 6125 1182 66 34  0  0  0
 2  0 372736 248444  45184 796804    0    0     0   116 5612 1386 63 37  0  0  0
 1  0 372736 249916  45184 796840    0    0     0     0 5596 1219 59 41  0  0  0
 2  0 372736 250980  45184 796860    0    0     0     0 6041 1351 56 44  0  0  0
 1  0 372736 247868  45196 796932    0    0     0   660 6055 1322 57 43  0  0  0
 1  0 372736 249380  45196 796936    0    0     0     0 5508 1218 55 45  0  0  0
 5  0 372736 250828  45208 796944    0    0     0   136 6517 1522 54 46  0  0  0
 4  0 372736 249756  45216 796988    0    0     0    36 5720 1369 53 47  0  0  0
 2  0 372736 248936  45216 796984    0    0     0     0 6034 1168 54 46  0  0  0
 2  0 372736 247608  45232 797052    0    0     4   672 6058 1274 52 48  0  0  0
