procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2260336  52092 937332    0    0     7     5  122   39  0  0 99  0  0
 0  0      0 2260336  52092 937332    0    0     0     0  145   96  0  0 100  0  0
 0  0      0 2260336  52100 937376    0    0     0    24  142  107  0  0 100  0  0
 0  0      0 2260336  52100 937376    0    0     0     0  130   88  0  0 100  0  0
 0  0      0 2260336  52100 937376    0    0     0     0  149   98  0  0 100  0  0
 0  0      0 2260336  52100 937376    0    0     0     0  139   89  0  0 100  0  0
 0  0      0 2260336  52100 937376    0    0     0     0  145  101  0  0 100  0  0
 0  0      0 2260336  52100 937376    0    0     0     0  119   79  0  0 100  0  0
 0  0      0 2260336  52108 937368    0    0     0    12  143  101  0  0 100  0  0
 1  0      0 2259832  52108 937368    0    0     0     0  293  275  1  1 99  0  0
 0  0      0 2259800  52108 937408    0    0     0     0  124   81  0  0 100  0  0
 1  0      0 2259800  52108 937408    0    0     0     0  135   87  0  0 100  0  0
 0  0      0 2259960  52108 937408    0    0     0   268 1017  631  0  1 98  1  0
 0  0      0 2259704  52108 937408    0    0     0     0 1447  349  0  1 98  0  0
 0  0      0 2259800  52116 937408    0    0     0    60 5097  687  0  2 97  0  0
 0  0      0 2259128  52116 937412    0    0     0     0 3525  670  0  2 97  0  0
 0  0      0 2259092  52116 937416    0    0     0     0 5314  774  0  2 98  0  0
 0  0      0 2259420  52116 937416    0    0     0    56 5264  833  0  3 97  0  0
 1  0      0 2258900  52116 937420    0    0     0     0 5701  809  1  3 97  0  0
 1  0      0 2258836  52124 937424    0    0     0    28 5753  745  0  3 97  0  0
 0  0      0 2257336  52124 937428    0    0     0     0 6169  741  0  2 98  0  0
 1  0      0 2258344  52124 937428    0    0     0     0 6132  647  0  2 98  0  0
 1  0      0 2269620  52124 937428    0    0     0     0 6268  893  1  3 96  0  0
 0  0      0 2268748  52124 937428    0    0     0   128 6367  825  0  3 97  0  0
 1  0      0 2269000  52132 937432    0    0     0    60 6182  793  0  2 98  0  0
 0  0      0 2268992  52132 937432    0    0     0     0 5251  751  0  3 97  0  0
 0  0      0 2270164  52132 937440    0    0     0     0 5510  846  1  3 96  0  0
 1  0      0 2269076  52132 937440    0    0     0     0 3440  599  0  2 98  0  0
 0  0      0 2269344  52132 937444    0    0     0    52 5679  801  0  2 97  0  0
 1  0      0 2269404  52140 937448    0    0     0    28 5107  685  0  3 97  1  0
 1  0      0 2269468  52140 937448    0    0     0     0 4489  631  0  1 98  0  0
 1  0      0 2268484  52140 937452    0    0     0     0 5297  714  0  2 98  0  0
 0  0      0 2269260  52140 937452    0    0     0     0 6254  694  0  3 97  0  0
 0  0      0 2268872  52140 937456    0    0     0     0 6036  676  0  2 98  0  0
 0  0      0 2270448  52148 937460    0    0     0    16 5421  709  0  2 93  4  0
 0  0      0 2269652  52148 937464    0    0     0     0 5606  743  0  2 98  0  0
 1  0      0 2269276  52148 937468    0    0     0     0 4994  628  1  1 98  0  0
 0  0      0 2269692  52148 937468    0    0     0     0 4888  662  1  2 97  0  0
 1  0      0 2269764  52148 937472    0    0     0     0 4698  663  0  3 97  0  0
 0  0      0 2268436  52156 937476    0    0     0    16 4984  664  0  3 96  1  0
 1  0      0 2270180  52156 937476    0    0     0     0 4770  693  0  3 97  0  0
 0  0      0 2269200  52156 937480    0    0     0     0 5564  652  0  3 97  0  0
 0  0      0 2268924  52156 937484    0    0     0     0 6221  677  1  2 97  0  0
 1  0      0 2269756  52156 937488    0    0     0     0 5911  689  0  3 97  0  0
 1  0      0 2269140  52164 937488    0    0     0    16 4619  640  0  2 97  0  0
 0  0      0 2269700  52164 937488    0    0     0     0 5924  659  1  3 97  0  0
 0  0      0 2268780  52164 937496    0    0     0     0 6034  668  0  2 97  0  0
 0  0      0 2270300  52164 937496    0    0     0     0 6060  654  0  2 98  0  0
 0  0      0 2269388  52164 937504    0    0     0     0 5999  707  0  3 96  0  0
 1  0      0 2269472  52172 937500    0    0     0    16 4410  680  0  2 97  0  0
 0  0      0 2270204  52172 937512    0    0     0     0 4159  632  1  2 98  0  0
 1  0      0 2267556  52172 937512    0    0     0     0 5787  677  1  3 97  0  0
 0  0      0 2269516  52172 937516    0    0     0     0 6267  650  0  2 98  0  0
 1  0      0 2269292  52172 937520    0    0     0     0 6184  755  1  3 97  0  0
 0  0      0 2269708  52180 937520    0    0     0    16 4081  682  1  2 97  0  0
 1  0      0 2269964  52180 937524    0    0     0     0 4126  599  0  2 98  0  0
 0  0      0 2269312  52180 937528    0    0     0     0 4332  572  0  1 99  0  0
 0  0      0 2269532  52180 937532    0    0     0     0 5230  650  0  3 97  0  0
 1  0      0 2270124  52180 937532    0    0     0    92 3681  571  0  2 98  0  0
 0  0      0 2270292  52188 937528    0    0     0    28 4724  722  1  2 97  0  0
 0  0      0 2269820  52188 937540    0    0     0     0 6368 1320  1  3 96  0  0
 0  0      0 2269152  52188 937540    0    0     0     0 3801  637  0  2 98  0  0
 1  0      0 2269952  52188 937544    0    0     0     0 4208  657  0  2 98  0  0
 1  0      0 2269204  52188 937548    0    0     0    16 5959  711  0  3 97  0  0
 2  0      0 2270156  52196 937540    0    0     0    24 5549  677  0  4 95  1  0
 1  0      0 2270164  52196 937552    0    0     0     0 5549  688  0  2 97  0  0
 2  0      0 2269644  52196 937556    0    0     0     0 4140  583  0  2 98  0  0
 0  0      0 2269552  52196 937556    0    0     0     0 4259  608  0  2 98  0  0
 1  0      0 2270064  52196 937560    0    0     0     0 4683  662  0  2 98  0  0
 1  0      0 2269648  52204 937556    0    0     0    16 4815  628  0  2 98  0  0
 1  0      0 2269976  52204 937564    0    0     0     0 5348  624  1  2 97  0  0
 0  0      0 2270008  52204 937568    0    0     0     0 4603  639  0  1 98  0  0
 1  0      0 2269476  52204 937572    0    0     0     0 3710  644  0  3 97  0  0
 0  0      0 2269268  52204 937576    0    0     0     0 6345  828  0  4 96  0  0
 1  0      0 2268936  52212 937568    0    0     0    16 5714  856  0  3 96  1  0
 0  0      0 2269428  52212 937580    0    0     0     0 6368  780  0  3 97  0  0
 0  0      0 2270596  52212 937584    0    0     0     0 6435  924  1  3 97  0  0
 1  0      0 2269628  52212 937588    0    0     0     0 5410  732  0  2 98  0  0
 0  0      0 2269604  52212 937588    0    0     0     0 5743  738  1  2 97  0  0
 1  0      0 2268936  52220 937580    0    0     0    16 6371  918  0  2 98  0  0
 0  0      0 2268240  52220 937600    0    0     0     0 6285  695  0  3 97  0  0
 1  0      0 2268492  52220 937600    0    0     0     0 6356  807  1  2 97  0  0
 0  0      0 2269540  52220 937604    0    0     0     0 6152  737  0  4 96  0  0
 0  0      0 2269064  52220 937604    0    0     0     0 3739  658  0  3 97  0  0
 3  0      0 2268896  52228 937604    0    0     0    16 5282  724  1  3 96  0  0
 2  0      0 2268848  52228 937612    0    0     0     0 6294  703  0  3 97  0  0
 0  0      0 2270004  52228 937616    0    0     0     0 6147  825  1  2 97  0  0
 2  0      0 2268732  52228 937616    0    0     0     0 4536  696  0  2 98  0  0
 1  0      0 2267920  52228 937620    0    0     0     0 6019  728  0  3 97  0  0
 0  0      0 2266440  52236 937616    0    0     0   120 5310  743  0  2 98  0  0
 0  0      0 2267568  52236 937624    0    0     0     0 5736  654  1  3 97  0  0
 0  0      0 2268168  52236 937628    0    0     0     0 6118  731  0  2 98  0  0
 0  0      0 2268120  52236 937632    0    0     0     0 4001  650  0  1 99  0  0
 0  0      0 2269708  52236 937632    0    0     0     0 4848  734  1  3 96  0  0
 0  0      0 2268840  52244 937632    0    0     0    36 4657  705  0  1 98  0  0
 0  0      0 2268712  52244 937636    0    0     0     0 5497  705  0  3 97  0  0
 0  0      0 2267976  52244 937640    0    0     0     0 6292  720  0  3 97  0  0
 0  0      0 2267512  52244 937644    0    0     0     0 6150  657  0  1 99  0  0
 0  0      0 2269088  52244 937652    0    0     0     0 6232  681  0  3 97  0  0
 1  0      0 2269136  52244 937656    0    0     0     0 4348  652  0  2 98  0  0
 1  0      0 2269112  52252 937648    0    0     0    16 5172  691  0  3 97  0  0
 0  0      0 2268360  52252 937652    0    0     0     0 5545  737  0  2 98  0  0
