procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  14168  85676  37408 1182752    0    2   239   203  205  256  3  2 94  2  0
 0  1  14168  85668  37416 1182756    0    0     0    52  108  455  8  1 91  0  0
 0  0  14168  85668  37416 1182756    0    0     0     0   67  191  3  0 91  6  0
 1  0  14168  85668  37416 1182756    0    0     0     0   42   83  0  0 100  0  0
 0  0  14168  85668  37416 1182756    0    0     0     0   37  102  1  0 99  0  0
 0  0  14168 107612  37416 1182748    0    0     0     0   89  406  2  1 97  0  0
 0  1  14168 107580  37416 1182972    0    0   224    36  480  121  0  2 95  3  0
 0  0  14168 107580  37424 1182976    0    0     0    20 1662  320  2  9 87  2  0
 0  0  14168 107580  37424 1182976    0    0     0     0 1115  624  5  8 87  0  0
 0  0  14168 107572  37424 1182976    0    0     0     0 2439  326  1 17 82  0  0
 0  0  14168 107580  37424 1182980    0    0     0     0 2953  425  1 22 77  0  0
 0  0  14168 107580  37424 1182980    0    0     0   132 1994  351  1 13 86  0  0
 0  0  14168 107580  37432 1182980    0    0     0    16 2162  355  3 13 78  5  0
 0  0  14168 107580  37432 1182984    0    0     0     0 2815  355  0 20 80  0  0
 0  0  14168 107580  37432 1182984    0    0     0     0 3204  382  2 22 76  0  0
 0  0  14168 107572  37432 1182988    0    0     0     0 3329  412  0 24 76  0  0
 0  0  14168 107580  37432 1182988    0    0     0     0 2904  391  2 18 80  0  0
 0  0  14168 107580  37440 1182988    0    0     0    16 2302  287  1 15 84  0  0
 0  0  14168 107580  37440 1182992    0    0     0     0 3257  397  1 22 77  0  0
 0  0  14168 107580  37440 1182992    0    0     0     0 3624  374  1 22 77  0  0
 0  0  14168 107580  37440 1182996    0    0     0     0 3077  375  1 23 76  0  0
 0  0  14168 107580  37440 1182996    0    0     0   988 2394  359  1 14 84  1  0
 0  0  14168 107580  37448 1183000    0    0     0    16 2700  328  1 18 81  0  0
 0  0  14168 118676  37448 1182996    0    0     0     0 2005  422  6 10 84  0  0
 0  0  14168 118676  37448 1183000    0    0     0     0 2127  303  1 15 84  0  0
 0  0  14168 118676  37448 1183000    0    0     0     0 3296  415  3 23 74  0  0
 0  0  14168 118676  37448 1183000    0    0     0     4 2611  359  0 18 82  0  0
 0  0  14168 118676  37456 1183004    0    0     0    56 3126  377  2 21 77  0  0
 0  0  14168 118668  37456 1183004    0    0     0     0 3870  355  1 24 75  0  0
 0  0  14168 118676  37456 1183008    0    0     0     0 2702  397  1 21 78  0  0
 0  0  14168 118676  37456 1183008    0    0     0     0 3431  679  2 20 78  0  0
 0  0  14168 118676  37456 1183012    0    0     0   216 3212  421  0 23 77  0  0
 0  0  14168 118668  37464 1183012    0    0     0    28 2760  353  2 19 76  3  0
 0  0  14168 118668  37464 1183016    0    0     0     0 3380  430  3 19 78  0  0
 0  0  14168 118676  37464 1183016    0    0     0     0 3181  315  0 22 78  0  0
 0  0  14168 118676  37464 1183016    0    0     0     0 2420  277  2 14 84  0  0
 0  0  14168 118676  37464 1183020    0    0     0     0 2793  343  2 16 82  0  0
 0  0  14168 118676  37488 1183064    0    0     0   172 2229  345  2 15 81  1  0
 0  0  14168 118676  37488 1183068    0    0     0     0 2780  366  1 20 79  0  0
 0  0  14168 118676  37488 1183068    0    0     0     0 3350  394  0 24 76  0  0
 0  0  14168 118676  37488 1183072    0    0     0     0 3134  352  1 21 78  0  0
