procs_r,procs_b,memory_swpd,memory_free,memory_buff,memory_cache,swap_si,swap_so,io_bi,io_bo,system_in,system_cs,cpu_us,cpu_sy,cpu_id,cpu_wa,cpu_st,cluster
0,0,265984,474816,40788,963532,0,0,0,0,2315,396,1,13,86,0,0,0
0,0,265984,476360,40416,962468,0,0,0,0,7744,535,3,33,64,0,0,1
0,0,265984,474068,40736,963368,0,0,0,0,5425,549,6,31,63,0,0,2
0,0,265984,473816,40760,963432,0,0,0,0,5626,447,2,26,71,0,0,3
0,0,265984,474068,40636,963096,0,0,0,132,6078,544,1,36,63,0,0,4
11,0,265984,463576,40524,962776,0,0,0,96,5554,889,4,33,61,2,0,5
1,0,265984,476864,40392,962392,0,0,0,0,1419,610,4,13,83,0,0,6
6,0,265984,476904,40376,962348,3,15,101,109,221,583,9,2,89,1,0,7
0,0,265984,456952,40524,962828,0,0,0,0,5084,807,4,30,66,0,0,8
0,0,265984,475848,40472,962620,0,0,0,208,5752,447,0,30,67,3,0,9
0,0,265984,474320,40564,962896,0,0,0,0,5284,506,1,30,69,0,0,10
0,0,265984,474320,40564,962900,0,0,0,788,5744,611,0,30,69,1,0,11
