procs_r,procs_b,memory_swpd,memory_free,memory_buff,memory_cache,swap_si,swap_so,io_bi,io_bo,system_in,system_cs,cpu_us,cpu_sy,cpu_id,cpu_wa,cpu_st,cluster
0,0,265984,474816,40796,963532,0,0,0,36,92,361,2,0,98,0,0,0
0,0,265984,476360,40416,962460,0,0,0,16,7149,624,4,33,63,0,0,1
0,0,265984,474052,40656,963160,0,0,0,0,6360,562,4,31,65,0,0,2
0,0,265984,474060,40592,962980,0,0,0,0,5055,387,2,28,70,0,0,3
0,0,265984,474068,40728,963336,0,0,0,0,5404,562,2,33,65,0,0,4
11,0,265984,463576,40524,962776,0,0,0,96,5554,889,4,33,61,2,0,5
1,0,265984,476864,40400,962400,0,0,0,0,2708,341,1,15,84,0,0,6
6,0,265984,476904,40376,962348,3,15,101,109,221,583,9,2,89,1,0,7
0,0,265984,473060,40784,963488,0,0,0,0,5354,863,10,28,62,0,0,8
0,0,265984,475848,40472,962620,0,0,0,208,5752,447,0,30,67,3,0,9
0,0,265984,474320,40564,962896,0,0,0,0,5284,506,1,30,69,0,0,10
0,0,265984,474320,40564,962900,0,0,0,788,5744,611,0,30,69,1,0,11
