procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 254148 121724  56628 1332972    4   20   143   217  245 1285 12  2 84  2  0
 0  0 254148 121716  56632 1333004    0    0     0    72  139  370  6  0 85  9  0
 0  0 254148 121716  56632 1333008    0    0     0     0   59  100  0  0 100  0  0
 0  0 254148 121716  56632 1333008    0    0     0     0   70  123  0  0 100  0  0
 0  0 254148 121716  56632 1333008    0    0     0     0  107 4209  8  3 89  0  0
 0  0 254148 121716  56632 1333008    0    0     0     0   59  102  2  1 97  0  0
 0  0 254148 121716  56632 1333008    0    0     0     0  387  172  1  3 96  0  0
 0  0 254148 121716  56648 1333008    0    0     0   108  538  236  1  2 92  5  0
 0  0 254148 121716  56648 1333012    0    0     0     0  660  334  4  3 93  0  0
 0  0 254148 121716  56648 1333012    0    0     0     0  933 4441  7  7 86  0  0
 0  0 254148 121716  56648 1333016    0    0     0     0 1098  350  1  8 91  0  0
 0  0 254148 121716  56648 1333020    0    0     0     0 1271  370  2  8 90  0  0
 2  0 254148 121204  56656 1333024    0    0     0    56 1535  344  0 11 88  1  0
 0  0 254148 121716  56656 1333028    0    0     0     0 1182  293  1  8 91  0  0
 0  0 254148 121716  56656 1333028    0    0     0     0 1114 4427  6  8 85  0  0
 0  0 254148 121716  56656 1333032    0    0     0     0 1254  350  1  9 90  0  0
 1  0 254148 101296  56656 1333700    0    0   636     0 1283  619 71 10 11  7  0
 1  0 254148  86672  56664 1333756    0    0    80    40 1136  800 81 10  0  8  0
 1  0 254148  83900  56664 1333756    0    0     0     0 1318  764 83 17  0  0  0
 1  0 254148  83648  56664 1333760    0    0     0     0 1366 4917 79 21  0  0  0
 1  0 254148  84404  56664 1333764    0    0     0     0 1556  756 76 24  0  0  0
 2  0 254148  84152  56664 1333768    0    0     0     0 1351  739 77 23  0  0  0
 1  0 254148  87184  56668 1333768    0    0     0    44 1041  751 82 18  0  0  0
 0  0 254148 118580  56672 1335472    0    0     0    32  948  823 26 24 50  0  0
 0  0 254148 118580  56672 1335476    0    0     0     0  835 4418  4  9 87  0  0
 0  0 254148 118580  56672 1335480    0    0     0     0 1031  315  0  7 93  0  0
 0  0 254148 118580  56672 1335480    0    0     0     0 1110  287  0  7 93  0  0
 0  0 254148 118580  56672 1335484    0    0     0     0 1067  317  0  6 94  0  0
 0  0 254148 118580  56676 1335488    0    0     0    32  978  297  1  9 89  1  0
 0  0 254148 118580  56676 1335492    0    0     0     0 1019 4375  5 10 84  0  0
 0  0 254148 118580  56676 1335496    0    0     0   156 1458  382  4  9 87  0  0
 0  0 254148 118580  56676 1335500    0    0     0     0 1206  273  0  9 91  0  0
 0  0 254148 118580  56676 1335500    0    0     0     0 1156  272  0  8 92  0  0
 0  0 254148 118580  56680 1335504    0    0     0    16 1276  304  1  8 88  3  0
 0  0 254148 118580  56680 1335504    0    0     0     0 1214 4410  7 10 83  0  0
 0  0 254148 118580  56680 1335512    0    0     0   212 1132  278  2  6 89  3  0
 0  0 254148 118580  56680 1335516    0    0     0     0 1169  280  0  7 93  0  0
 0  0 254148 118580  56680 1335520    0    0     0     0  799  231  0  5 95  0  0
 0  0 254148 118580  56684 1335520    0    0     0    36  955  254  1  5 89  5  0
 0  0 254148 118580  56684 1335524    0    0     0     0 1361 4443  6 10 84  0  0
 0  0 254148 118580  56684 1335528    0    0     0   140 1188  340  3  7 90  0  0
 0  0 254148 118580  56684 1335532    0    0     0     0 1195  258  0  7 93  0  0
 0  0 254148 118580  56684 1335532    0    0     0     0 1335  339  1  6 93  0  0
 0  0 254148 118580  56692 1335540    0    0     0    36 1035  298  1  5 94  0  0
 0  0 254148 118580  56692 1335540    0    0     0     0 1215 4419  5 11 84  0  0
 0  0 254148 118580  56692 1335544    0    0     0     0 1367  320  0  7 93  0  0
 0  0 254148 118580  56692 1335544    0    0     0     0 1185  287  0 11 89  0  0
 0  0 254148 118580  56692 1335552    0    0     0     0  736  250  0  4 96  0  0
 0  0 254148 118580  56700 1335560    0    0     0    24  990  288  1  6 89  4  0
 0  0 254148 118580  56700 1335560    0    0     0     0 1262 4392  7 12 81  0  0
 0  0 254148 118580  56700 1335564    0    0     0     0 1103  281  0  8 92  0  0
 0  0 254148 118580  56700 1335568    0    0     0     0 1319  356  3 10 87  0  0
 0  0 254148 118580  56700 1335572    0    0     0     0 1030  340  0  7 93  0  0
 0  0 254148 118580  56708 1335576    0    0     0    16 1099  315  1  7 91  1  0
 0  0 254148 118580  56708 1335576    0    0     0     0 1013 4456  7  8 85  0  0
 0  0 254148 118580  56716 1335580    0    0     0   144 1082  326  1  7 92  0  0
 0  0 254148 118580  56716 1335584    0    0     0     0 1023  299  1  7 92  0  0
 0  0 254148 118580  56716 1335588    0    0     0     0 1142  290  1  6 93  0  0
 0  0 254148 118580  56716 1335592    0    0     0     0  773  294  0  6 94  0  0
 0  0 254148 118580  56716 1335592    0    0     0     0  853 4402  5  8 87  0  0
 0  0 254148 118580  56724 1335600    0    0     0    52 1402  316  0  8 88  4  0
 0  0 254148 118580  56740 1335636    0    0     0    84 1091  300  1  8 89  2  0
 0  0 254148 118580  56740 1335640    0    0     0     0 1118  318  2 10 88  0  0
 1  0 254148 118540  56740 1335652    0    0     0     0 1019  292  1  5 94  0  0
 0  0 254148 118572  56748 1335660    0    0     0    64 1263 4461  8 10 77  5  0
 0  0 254148 118572  56748 1335664    0    0     0    52  998  276  0  6 94  0  0
 0  0 254148 118572  56748 1335668    0    0     0     0 1031  350  1  6 93  0  0
 1  0 254148 101172  56764 1336072   12    0   408    56 1471 1089  7 14 74  5  0
 0  0 254148 101172  56764 1336140    0    0     0     0 1196  354  0  9 91  0  0
 0  0 254148 101172  56764 1336144    0    0     0     0 1523 4494  9 12 79  0  0
 0  0 254148 101172  56764 1336148    0    0     0     0  904  317  0  4 96  0  0
 0  0 254148 116404  56764 1336148    0    0     0   292  789  377  1  6 78 14  0
 0  0 254148 116404  56772 1336156    0    0     0    72 1318  345  1  9 86  4  0
 0  0 254148 116404  56772 1336156    0    0     0     0 1125  325  3  7 90  0  0
 0  0 254148 116404  56772 1336160    0    0     0     0 1124 4433  5 13 82  0  0
 1  0 254148 116404  56772 1336164    0    0     0     0 1153  321  1 10 89  0  0
 0  0 254148 116404  56772 1336168    0    0     0     0 1042  304  0  7 93  0  0
 0  0 254148 116404  56780 1336172    0    0     0    16 1169  284  2  7 87  4  0
 0  0 254148 104796  56780 1336128    0    0     0     0  996  620  4  7 89  0  0
 0  0 254148 104796  56780 1336128    0    0     0     0  840 4405  7  7 86  0  0
 0  0 254148 104796  56780 1336132    0    0     0     0  997  280  1  7 92  0  0
 0  0 254148 117768  56780 1336136    0    0     0     0 1050  388  2 10 88  0  0
 0  0 254148 117768  56788 1336128    0    0     0    32 1073  328  1  5 92  2  0
 0  0 254148 117768  56788 1336144    0    0     0     0  947  271  0  6 94  0  0
 0  0 254148 117768  56788 1336148    0    0     0     0 1102 4480  8 11 81  0  0
 0  0 254148 117768  56788 1336148    0    0     0     0  991  307  1  7 92  0  0
 0  0 254148 117768  56788 1336152    0    0     0     0 1102  322  0  8 92  0  0
 0  0 254148 117768  56796 1336156    0    0     0    28  989  305  0  6 89  5  0
 0  0 254148 117768  56796 1336160    0    0     0     0  938  310  0  6 94  0  0
 0  0 254148 117768  56796 1336164    0    0     0     0  795 4403  4 10 86  0  0
 0  0 254148 117768  56796 1336164    0    0     0     0 1260  350  1  7 92  0  0
 0  0 254148 117768  56796 1336168    0    0     0    36 1165  261  0  7 93  0  0
 0  0 254148 117768  56804 1336172    0    0     0    28 1093  272  1  7 89  3  0
 0  0 254148 117768  56804 1336176    0    0     0     0 1155  285  1  7 92  0  0
 0  0 254148 117768  56804 1336176    0    0     0     0 1117 4459  5 11 84  0  0
 0  0 254148 117768  56804 1336184    0    0     0     0 1234  330  2  7 91  0  0
 0  0 254148 117768  56804 1336188    0    0     0     0  893  267  0  5 95  0  0
 0  0 254148 117768  56812 1336188    0    0     0    24 1094  283  1  9 87  3  0
 0  0 254148 117768  56812 1336196    0    0     0     0 1018  278  1  6 93  0  0
 0  0 254148 117768  56812 1336200    0    0     0     0 1216 4448  7  9 84  0  0
 0  0 254148 117768  56812 1336204    0    0     0     0 1107  263  1  6 93  0  0
 0  0 254148 117768  56812 1336208    0    0     0   684 1305  290  0  8 92  0  0
 0  0 254148 117768  56820 1336212    0    0     0    44  977  296  0  6 79 15  0
 0  0 254148 117768  56820 1336212    0    0     0     0  861  271  1  6 93  0  0
 0  0 254148 117768  56820 1336216    0    0     0     0  714 4420  5  6 89  0  0
 0  0 254148 117768  56820 1336220    0    0     0     0  920  300  1  5 94  0  0
 1  0 254148 117192  56820 1336224    0    0     0     0  796  308  2  5 93  0  0
 0  0 254148 117768  56828 1336228    0    0     0    24 1305  273  0 10 87  3  0
 0  0 254148 117768  56828 1336228    0    0     0     0 1362  276  0  8 92  0  0
