procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 753576  47736 611564    0    0   689    41  470  435  5  4 87  4  0
 0  0      0 753568  47740 611504    0    0     4    36  402 1212 11  1 87  1  0
 0  0      0 753568  47740 611504    0    0     0     0   82  180  3  0 97  0  0
 0  0      0 753568  47740 611504    0    0     0     0   54   90  1  0 99  0  0
 0  0      0 753568  47740 611504    0    0     0     0   69  157  0  0 100  0  0
 0  0      0 753568  47740 611504    0    0     0     0  169  720  1  1 98  0  0
 0  0      0 753568  47748 611504    0    0     0    64  426  174  0  2 94  4  0
 0  0      0 753568  47748 611508    0    0     0     0  447  544  3  4 93  0  0
 1  0      0 753568  47748 611508    0    0     0     0  464  471  1  2 97  0  0
 1  0      0 753568  47748 611508    0    0     0     0  558  317  0  3 97  0  0
 0  0      0 753568  47748 611508    0    0     0     0  686  713  2  3 95  0  0
 1  0      0 753568  47756 611500    0    0     0    16  568  585  3  2 89  6  0
 1  0      0 753568  47756 611512    0    0     0    68  655  277  0  4 96  0  0
 1  0      0 753568  47756 611512    0    0     0     0  820  279  2  4 94  0  0
 0  0      0 753568  47756 611516    0    0     0     0  475  239  0  2 98  0  0
 0  0      0 753316  47756 611516    0    0     0     0  770  283  0  5 95  0  0
 0  0      0 753316  47764 611520    0    0     0    28  631  250  0  6 90  4  0
 1  0      0 753064  47764 611520    0    0     0     0  558  242  0  3 97  0  0
 0  0      0 752812  47764 611524    0    0     0     0 1164  528  1  5 94  0  0
 1  0      0 752560  47764 611524    0    0     0     0 1127  336  1 10 89  0  0
 0  0      0 752276  47764 611532    0    0     0     0  738  332  0  4 96  0  0
 1  0      0 752024  47772 611524    0    0     0    16 1079  380  1 10 89  0  0
 1  0      0 751772  47772 611536    0    0     0     0  940  328  2  5 93  0  0
 0  0      0 751708  47772 611536    0    0     0     0  646  378  1  7 92  0  0
 0  0      0 751488  47772 611544    0    0     0     0 1456  403  0  8 92  0  0
