timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1609841672683,60,HTTP Request - Wikipedia Home,200,OK,Thread Group - Fast 2-1,text,true,,71559,134,1,2,http://192.168.56.101/WikipediaHome.html,54,0,37
1609841672683,65,HTTP Request - Repubblica Home,200,OK,Thread Group - Slow 1-1,text,true,,1968024,135,1,2,http://192.168.56.101/RepubblicaHome.html,54,0,37
1609841673077,60,HTTP Request - Repubblica Home,200,OK,Thread Group - Fast 2-2,text,true,,1968024,135,2,4,http://192.168.56.101/RepubblicaHome.html,10,0,6
1609841673058,82,HTTP Request - YouTube Home,200,OK,Thread Group - Slow 1-2,text,true,,4159636,132,2,4,http://192.168.56.101/YouTubeHome.html,6,0,3
1609841673526,24,HTTP Request - Repubblica Home,200,OK,Thread Group - Slow 1-3,text,true,,1968024,135,3,5,http://192.168.56.101/RepubblicaHome.html,5,0,2
1609841673555,2,HTTP Request - Wikipedia Home,200,OK,Thread Group - Fast 2-3,text,true,,71559,134,3,6,http://192.168.56.101/WikipediaHome.html,2,0,1
1609841674032,41,HTTP Request - YouTube Home,200,OK,Thread Group - Slow 1-4,text,true,,4159636,132,4,8,http://192.168.56.101/YouTubeHome.html,5,0,3
1609841674090,2,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Fast 2-1,text,true,,158621,134,4,8,http://192.168.56.101/WikipediaPag1.html,1,0,0
1609841674131,3,HTTP Request - Wikipedia Home,200,OK,Thread Group - Fast 2-4,text,true,,71559,134,4,8,http://192.168.56.101/WikipediaHome.html,2,0,1
1609841674563,4,HTTP Request - Wikipedia Home,200,OK,Thread Group - Fast 2-5,text,true,,71559,134,5,10,http://192.168.56.101/WikipediaHome.html,4,0,2
1609841674577,37,HTTP Request - YouTube Home,200,OK,Thread Group - Slow 1-5,text,true,,4159636,132,5,10,http://192.168.56.101/YouTubeHome.html,2,0,1
1609841674618,13,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Fast 2-2,text,true,,1549877,135,5,10,http://192.168.56.101/RepubblicaPag1.html,2,0,0
1609841675064,6,HTTP Request - Wikipedia Home,200,OK,Thread Group - Fast 2-6,text,true,,71559,134,6,12,http://192.168.56.101/WikipediaHome.html,3,0,1
1609841675040,39,HTTP Request - Repubblica Home,200,OK,Thread Group - Slow 1-6,text,true,,1968024,135,6,12,http://192.168.56.101/RepubblicaHome.html,5,0,2
1609841675127,5,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Fast 2-3,text,true,,158621,134,6,12,http://192.168.56.101/WikipediaPag1.html,2,0,0
1609841675557,3,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Fast 2-4,text,true,,158621,134,7,14,http://192.168.56.101/WikipediaPag1.html,1,0,0
1609841675546,42,HTTP Request - Repubblica Home,200,OK,Thread Group - Slow 1-7,text,true,,1968024,135,7,14,http://192.168.56.101/RepubblicaHome.html,5,0,2
1609841675570,23,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Slow 1-1,text,true,,1549877,135,7,14,http://192.168.56.101/RepubblicaPag1.html,5,0,0
1609841675602,3,HTTP Request - Wikipedia Pag2,200,OK,Thread Group - Fast 2-1,text,true,,131694,134,7,14,http://192.168.56.101/WikipediaPag2.html,1,0,0
1609841675627,35,HTTP Request - YouTube Home,200,OK,Thread Group - Fast 2-7,text,true,,4159636,132,7,14,http://192.168.56.101/YouTubeHome.html,2,0,1
1609841676028,39,HTTP Request - YouTube Home,200,OK,Thread Group - Slow 1-8,text,true,,4159636,132,8,16,http://192.168.56.101/YouTubeHome.html,5,0,2
1609841676085,15,HTTP Request - Repubblica Pag2,200,OK,Thread Group - Fast 2-2,text,true,,1542999,135,8,16,http://192.168.56.101/RepubblicaPag2.html,2,0,0
1609841676105,8,HTTP Request - Wikipedia Home,200,OK,Thread Group - Fast 2-8,text,true,,71559,134,8,16,http://192.168.56.101/WikipediaHome.html,4,0,1
1609841676114,10,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Fast 2-5,text,true,,158621,134,8,16,http://192.168.56.101/WikipediaPag1.html,4,0,0
1609841676105,50,HTTP Request - YouTube Pag1,200,OK,Thread Group - Slow 1-2,text,true,,5096467,132,8,16,http://192.168.56.101/YouTubePag1.html,2,0,0
1609841676538,16,HTTP Request - Repubblica Pag1,200,OK,Thread Group - Slow 1-3,text,true,,1549877,135,9,18,http://192.168.56.101/RepubblicaPag1.html,1,0,0
1609841676558,3,HTTP Request - Wikipedia Pag1,200,OK,Thread Group - Fast 2-6,text,true,,158621,134,9,18,http://192.168.56.101/WikipediaPag1.html,2,0,0
1609841676571,3,HTTP Request - Wikipedia Home,200,OK,Thread Group - Slow 1-9,text,true,,71559,134,9,18,http://192.168.56.101/WikipediaHome.html,2,0,1
1609841676630,2,HTTP Request - Wikipedia Pag2,200,OK,Thread Group - Fast 2-3,text,true,,131694,134,9,18,http://192.168.56.101/WikipediaPag2.html,1,0,0
1609841676636,20,HTTP Request - Repubblica Home,200,OK,Thread Group - Fast 2-9,text,true,,1968024,135,9,18,http://192.168.56.101/RepubblicaHome.html,2,0,1
1609841677055,6,HTTP Request - Wikipedia Home,200,OK,Thread Group - Slow 1-10,text,true,,71559,134,10,20,http://192.168.56.101/WikipediaHome.html,4,0,0
1609841677055,69,HTTP Request - YouTube Pag1,200,OK,Thread Group - Fast 2-7,text,true,,5096467,132,10,20,http://192.168.56.101/YouTubePag1.html,1,0,0
1609841677126,9,HTTP Request - Wikipedia Pag2,200,OK,Thread Group - Fast 2-4,text,true,,131694,134,10,20,http://192.168.56.101/WikipediaPag2.html,5,0,0
1609841677060,90,HTTP Request - YouTube Pag1,200,OK,Thread Group - Slow 1-4,text,true,,5096467,132,10,20,http://192.168.56.101/YouTubePag1.html,6,0,0
