procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 270080 944412  32300 533824    7   41   237   235  379 1449 22  4 73  1  0
 0  0 270080 943648  32300 533932    0    0     0     0  118 1273 12  3 85  0  0
 0  0 270080 943648  32300 533932    0    0     0     0   45  111  0  1 99  0  0
 0  0 270080 943648  32300 533932    0    0     0     0   34   89  0  0 100  0  0
 0  0 270080 943648  32300 533932    0    0     0     0   49  117  1  0 99  0  0
 0  0 270080 943648  32300 533932    0    0     0     0  114  421  3  0 97  0  0
 0  0 270080 943584  32308 533936    0    0     0    52  362  142  0  1 98  1  0
 0  0 270080 943616  32308 533936    0    0     0     0 1046  563  3  7 90  0  0
 0  0 270080 943868  32308 533936    0    0     0     0 1272  304  5  4 91  0  0
 0  0 270080 943868  32308 533936    0    0     0     0 1241  241  0  7 93  0  0
 0  0 270080 943868  32308 533940    0    0     0     0 1800  920  5  9 85  0  0
 0  0 270080 943868  32308 533940    0    0     0     0 2182  344  3 15 81  0  0
 0  0 270080 943868  32316 533944    0    0     0    16 2509  357  0 17 82  1  0
 0  0 270080 943868  32316 533944    0    0     0     0 2941  402  1 16 82  0  0
 0  0 270080 943868  32316 533948    0    0     0     0 3719  402  0 23 77  0  0
 0  0 270080 943868  32316 533948    0    0     0     0 4062  445  1 23 76  0  0
 0  0 270080 943868  32316 533952    0    0     0     0 3422  464  3 22 75  0  0
 0  0 270080 943868  32324 533956    0    0     0    16 4103  398  2 22 74  1  0
 0  0 270080 943868  32324 533956    0    0     0     0 3730  390  0 21 79  0  0
 0  0 270080 943868  32324 533960    0    0     0     0 3651  443  3 22 75  0  0
 0  0 270080 943852  32324 533964    0    0     0     0 4102  443  1 28 71  0  0
 0  0 270080 943836  32324 533968    0    0     0     0 2953  347  1 20 79  0  0
 0  0 270080 943836  32332 533968    0    0     0    16 3161  410  0 20 80  0  0
 0  0 270080 943584  32332 533976    0    0     0     0 3744  405  2 22 76  0  0
 1  0 270080 943568  32332 533992    0    0     0     0 2676  383  0 19 81  0  0
 0  0 270080 943568  32332 534000    0    0     0     0 4640  495  2 31 67  0  0
 0  0 270080 943316  32332 534000    0    0     0     0 3575  395  1 22 77  0  0
 0  0 270080 943316  32340 534004    0    0     0    16 3506  425  3 25 72  0  0
 0  0 270080 943316  32340 534008    0    0     0     0 3630  379  2 23 74  0  0
 0  0 270080 943316  32340 534012    0    0     0     0 3887  379  1 22 77  0  0
 0  0 270080 943316  32340 534016    0    0     0     0 4467  500  5 28 66  0  0
 0  0 270080 943316  32340 534020    0    0     0   472 4349  452  1 28 71  0  0
 0  0 270080 943316  32348 534020    0    0     0    36 3558  390  1 21 77  1  0
 0  0 270080 943316  32348 534028    0    0     0     0 4769  453  1 29 70  0  0
