procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 265984 476904  40376 962348    3   15   101   109  221  583  9  2 89  1  0
 0  0 265984 476896  40376 962352    0    0     0     0  118  438 11  0 89  0  0
 0  0 265984 476896  40376 962352    0    0     0     0   48  110  1  0 99  0  0
 0  0 265984 476896  40376 962352    0    0     0     0   38   83  0  1 99  0  0
 0  0 265984 476896  40376 962352    0    0     0     0  152  458  3  1 96  0  0
 0  0 265984 476832  40392 962388    0    0     0    96  554  186  1  3 93  3  0
 0  0 265984 476864  40392 962392    0    0     0     0 1517  347  2  8 89  0  0
 1  0 265984 476864  40392 962392    0    0     0     0 1419  610  4 13 83  0  0
 1  0 265984 476864  40392 962392    0    0     0     0 2118  604  2 11 86  0  0
 1  0 265984 476864  40392 962392    0    0     0     0 2028  304  0 16 84  0  0
 1  0 265984 476864  40400 962396    0    0     0    80 2996  458  2 16 81  1  0
 1  0 265984 476864  40400 962396    0    0     0     0 3135  433  2 20 78  0  0
 1  0 265984 476864  40400 962400    0    0     0     0 2708  341  1 15 84  0  0
 1  0 265984 476864  40400 962400    0    0     0     0 3628  403  2 22 76  0  0
 1  0 265984 473884  40400 962404    0    0     0     0 4115  447  1 22 77  0  0
 0  0 265984 476612  40404 962408    0    0     0    16 5490  523  1 31 68  0  0
 0  0 265984 476612  40404 962412    0    0     0     0 4945  461  2 28 70  0  0
 1  0 265984 470996  40404 962412    0    0     0     0 3677  509  2 25 73  0  0
 0  0 265984 476612  40404 962416    0    0     0     0 5818  515  0 34 66  0  0
 0  0 265984 476612  40404 962420    0    0     0     0 5791  574  5 34 61  0  0
 0  0 265984 476612  40408 962424    0    0     0   140 5047  487  0 29 71  0  0
 0  0 265984 476612  40408 962424    0    0     0     0 5656  496  2 28 70  0  0
 1  0 265984 475716  40408 962428    0    0     0     0 5815  521  2 34 64  0  0
 0  0 265984 476612  40408 962432    0    0     0     0 5298  472  4 30 66  0  0
 0  0 265984 476360  40408 962436    0    0     0     0 6829  502  1 33 66  0  0
