procs_r,procs_b,memory_swpd,memory_free,memory_buff,memory_cache,swap_si,swap_so,io_bi,io_bo,system_in,system_cs,cpu_us,cpu_sy,cpu_id,cpu_wa,cpu_st,cluster
0,0,0,0,8,0,0,0,0,36,-2223,-35,1,-13,12,0,0,0
0,0,0,0,0,-8,0,0,0,16,-595,89,1,0,-1,0,0,0
0,0,0,-16,-80,-208,0,0,0,0,935,13,-2,0,2,0,0,0
0,0,0,244,-168,-452,0,0,0,0,-571,-60,0,2,-1,0,0,0
0,0,0,0,92,240,0,0,0,-132,-674,18,1,-3,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8,8,0,0,0,0,1289,-269,-3,2,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,16108,260,660,0,0,0,0,270,56,6,-2,-4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
