,Timestamp,Node,Subsystem,Message,Tuple,Type
0,1167655228,tg-c238,DEV,+BEGIN HARDWARE ERROR STATE AT CPE,0,computation
1,1167655228,tg-c238,DEV,+Platform PCI Component Error Info Section,0,computation
2,1167655229,tg-c238,DEV,Component Info: Vendor Id =x x,0,computation
3,1167657137,tg-c238,DEV,+BEGIN HARDWARE ERROR STATE AT CPE,1,computation
4,1167657137,tg-c238,DEV,+END HARDWARE ERROR STATE AT CPE,1,computation
5,1167657137,tg-c238,DEV,+Platform PCI Component Error Info Section,1,computation
6,1167657140,tg-c238,DEV,+BEGIN HARDWARE ERROR STATE AT CPE,1,computation
7,1167657141,tg-c238,DEV,+Platform PCI Component Error Info Section,1,computation
8,1167657141,tg-c238,DEV,Component Info: Vendor Id =x x,1,computation
9,1167657141,tg-c238,DEV,+ Platform Specific Error Detail:,1,computation
10,1167657141,tg-c238,MEM,Physical Address x,1,computation
11,1167657141,tg-c238,MEM,Physical Address x,1,computation
12,1167657142,tg-c238,DEV,+BEGIN HARDWARE ERROR STATE AT CPE,1,computation
13,1167657142,tg-c238,DEV,+Platform PCI Component Error Info Section,1,computation
14,1167657143,tg-c238,DEV,+BEGIN HARDWARE ERROR STATE AT CPE,1,computation
15,1167657143,tg-c238,DEV,+Platform PCI Component Error Info Section,1,computation
16,1167657145,tg-c238,DEV,+BEGIN HARDWARE ERROR STATE AT CPE,1,computation
17,1167657145,tg-c238,DEV,+Platform PCI Component Error Info Section,1,computation
18,1167657145,tg-c238,DEV,Component Info: Vendor Id =x x,1,computation
19,1167657146,tg-c238,DEV,+BEGIN HARDWARE ERROR STATE AT CPE,1,computation
20,1167657146,tg-c238,DEV,+Platform PCI Component Error Info Section,1,computation
21,1167657146,tg-c238,DEV,Component Info: Vendor Id =x x,1,computation
22,1167657147,tg-c238,DEV,+BEGIN HARDWARE ERROR STATE AT CPE,1,computation
23,1167657147,tg-c238,DEV,+Platform PCI Component Error Info Section,1,computation
24,1167657147,tg-c238,DEV,+ Platform Specific Error Detail:,1,computation
