,Window,Tuples
0,1,8270
1,2,5488
2,3,5306
3,4,4978
4,5,4513
5,6,3862
6,7,3473
7,8,3355
8,9,3267
9,10,3085
10,11,2794
11,12,2619
12,13,2535
13,14,2497
14,15,2414
15,16,2278
16,17,2170
17,18,2119
18,19,2076
19,20,2023
20,21,1932
21,22,1849
22,23,1779
23,24,1741
24,25,1702
25,26,1635
26,27,1575
27,28,1521
28,29,1499
29,30,1476
30,31,1431
31,32,1371
32,33,1329
33,34,1304
34,35,1273
35,36,1246
36,37,1196
37,38,1155
38,39,1126
39,40,1110
40,41,1094
41,42,1054
42,43,1024
43,44,992
44,45,976
45,46,952
46,47,915
47,48,888
48,49,868
49,50,847
50,51,831
51,52,808
52,53,787
53,54,760
54,55,746
55,56,732
56,57,717
57,58,694
58,59,674
59,60,665
60,61,653
61,62,638
62,63,615
63,64,589
64,65,571
65,66,562
66,67,552
67,68,540
68,69,529
69,70,522
70,71,512
71,72,507
72,73,492
73,74,475
74,75,462
75,76,458
76,77,445
77,78,439
78,79,425
79,80,416
80,81,407
81,82,399
82,83,391
83,84,382
84,85,372
85,86,365
86,87,362
87,88,352
88,89,344
89,90,341
90,91,331
91,92,330
92,93,327
93,94,312
94,95,307
95,96,303
96,97,295
97,98,288
98,99,281
99,100,272
100,101,268
101,102,265
102,103,258
103,104,253
104,105,249
105,106,247
106,107,237
107,108,232
108,109,225
109,110,219
110,111,212
111,112,209
112,113,205
113,114,202
114,115,196
115,116,194
116,117,189
117,118,186
118,119,181
119,120,179
120,121,172
121,122,171
122,123,167
123,124,163
124,125,158
125,126,155
126,127,150
127,128,145
128,129,141
129,130,140
130,131,136
131,132,132
132,133,129
133,134,127
134,135,124
135,136,121
136,137,118
137,138,114
138,139,113
139,140,111
140,141,109
141,142,108
142,143,108
143,144,105
144,145,104
145,146,99
146,147,97
147,148,96
148,149,94
149,150,91
150,151,89
151,152,87
152,153,87
153,154,85
154,155,82
155,156,81
156,157,79
157,158,78
158,159,76
159,160,75
160,161,73
161,162,72
162,163,70
163,164,69
164,165,67
165,166,66
166,167,65
167,168,64
168,169,63
169,170,62
170,171,62
171,172,62
172,173,61
173,174,61
174,175,59
175,176,59
176,177,57
177,178,53
178,179,50
179,180,50
180,181,49
181,182,49
182,183,47
183,184,46
184,185,46
185,186,46
186,187,46
187,188,44
188,189,42
189,190,41
190,191,41
191,192,41
192,193,40
193,194,40
194,195,39
195,196,39
196,197,39
197,198,39
198,199,37
199,200,37
200,201,37
201,202,37
202,203,37
203,204,37
204,205,36
205,206,36
206,207,35
207,208,35
208,209,34
209,210,34
210,211,34
211,212,34
212,213,34
213,214,34
214,215,34
215,216,34
216,217,34
217,218,34
218,219,33
219,220,33
220,221,33
221,222,32
222,223,32
223,224,32
224,225,31
225,226,31
226,227,31
227,228,31
228,229,31
229,230,31
230,231,30
231,232,28
232,233,28
233,234,28
234,235,27
235,236,27
236,237,27
237,238,27
238,239,26
239,240,26
240,241,25
241,242,25
242,243,25
243,244,25
244,245,25
245,246,24
246,247,24
247,248,24
248,249,24
249,250,24
250,251,24
251,252,24
252,253,24
253,254,23
254,255,23
255,256,23
256,257,22
257,258,22
258,259,22
259,260,22
260,261,22
261,262,22
262,263,22
263,264,22
264,265,22
265,266,22
266,267,22
267,268,22
268,269,22
269,270,22
270,271,22
271,272,22
272,273,21
273,274,21
274,275,21
275,276,21
276,277,20
277,278,20
278,279,20
279,280,19
280,281,18
