,Timestamp,Node,Subsystem,Message,Tuple,Type
0,1167845545,tg-c238,I-O,hda: packet command error: error=x,0,computation
1,1167846140,tg-c238,I-O,hda: packet command error: error=x,1,computation
2,1167849443,tg-c128,I-O,hda: packet command error: error=x,2,computation
3,1167857118,tg-c383,I-O,error,3,computation
4,1167857118,tg-c383,I-O,error,3,computation
5,1167857118,tg-c383,I-O,error,3,computation
6,1167857118,tg-c383,I-O,error,3,computation
7,1167857118,tg-c383,I-O,error,3,computation
8,1167857118,tg-c383,I-O,error,3,computation
9,1167857118,tg-c383,I-O,error,3,computation
10,1167857118,tg-c383,I-O,error,3,computation
11,1167857118,tg-c383,I-O,error,3,computation
12,1167857118,tg-c383,I-O,error,3,computation
13,1167857118,tg-c383,I-O,error,3,computation
14,1167857118,tg-c383,I-O,error,3,computation
15,1167857118,tg-c383,I-O,error,3,computation
16,1167857118,tg-c383,I-O,error,3,computation
17,1168047647,tg-c685,I-O,SCSI Error: (x:x:x) Status=x (CHECK CONDITION),4,computation
18,1168047649,tg-c685,I-O,SCSI Error: (x:x:x) Status=x (CHECK CONDITION),4,computation
19,1168047654,tg-c685,I-O,SCSI Error: (x:x:x) Status=x (CHECK CONDITION),4,computation
20,1168047660,tg-c685,I-O,SCSI Error: (x:x:x) Status=x (CHECK CONDITION),4,computation
21,1168047674,tg-c685,I-O,SCSI Error: (x:x:x) Status=x (CHECK CONDITION),4,computation
22,1168093845,tg-login1,I-O,hda: packet command error: error=x,5,login
23,1168094079,tg-login1,I-O,x unknown partition table,6,login
24,1168094177,tg-login3,I-O,hda: packet command error: error=x,6,login
25,1168094364,tg-login3,I-O,qlx nvram config link down timeout=x,7,login
26,1168094504,tg-login3,I-O,x unknown partition table,8,login
27,1168094504,tg-login3,I-O,x unknown partition table,8,login
28,1168094505,tg-login3,I-O,x unknown partition table,8,login
29,1168094505,tg-login3,I-O,x unknown partition table,8,login
30,1168094505,tg-login3,I-O,x unknown partition table,8,login
31,1168094505,tg-login3,I-O,x unknown partition table,8,login
32,1168094505,tg-login3,I-O,x unknown partition table,8,login
33,1168094505,tg-login3,I-O,x unknown partition table,8,login
34,1168094505,tg-login3,I-O,x unknown partition table,8,login
35,1168094505,tg-login3,I-O,x unknown partition table,8,login
36,1168094505,tg-login3,I-O,x unknown partition table,8,login
37,1168094505,tg-login3,I-O,x unknown partition table,8,login
38,1168094505,tg-login3,I-O,x unknown partition table,8,login
39,1168094505,tg-login3,I-O,x unknown partition table,8,login
40,1168094505,tg-login3,I-O,x unknown partition table,8,login
41,1168094505,tg-login3,I-O,x unknown partition table,8,login
42,1168094505,tg-login3,I-O,x unknown partition table,8,login
43,1168094505,tg-login3,I-O,x unknown partition table,8,login
44,1168094505,tg-login3,I-O,x unknown partition table,8,login
45,1168094505,tg-login3,I-O,x unknown partition table,8,login
46,1168094505,tg-login3,I-O,x unknown partition table,8,login
47,1168094505,tg-login3,I-O,x unknown partition table,8,login
48,1168094505,tg-login3,I-O,x unknown partition table,8,login
49,1168094505,tg-login3,I-O,x unknown partition table,8,login
50,1168094505,tg-login3,I-O,x unknown partition table,8,login
51,1168094505,tg-login3,I-O,x unknown partition table,8,login
52,1168094505,tg-login3,I-O,x unknown partition table,8,login
53,1168094505,tg-login3,I-O,x unknown partition table,8,login
54,1168094505,tg-login3,I-O,x unknown partition table,8,login
55,1168094505,tg-login3,I-O,x unknown partition table,8,login
56,1168094505,tg-login3,I-O,x unknown partition table,8,login
57,1168094505,tg-login3,I-O,x unknown partition table,8,login
58,1168094505,tg-login3,I-O,x unknown partition table,8,login
59,1168094505,tg-login3,I-O,x unknown partition table,8,login
60,1168094505,tg-login3,I-O,x unknown partition table,8,login
61,1168094505,tg-login3,I-O,x unknown partition table,8,login
62,1168094505,tg-login3,I-O,x unknown partition table,8,login
63,1168094505,tg-login3,I-O,x unknown partition table,8,login
