,Timestamp,Node,Subsystem,Message,Tuple,Type
0,1167637660,tg-c645,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,0,computation
1,1167637660,tg-c645,PRO,Device Error Info Section,0,computation
2,1167637660,tg-c645,PRO,Error Map: x,0,computation
3,1167637720,tg-c645,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,0,computation
4,1167637720,tg-c645,PRO,Device Error Info Section,0,computation
5,1167637720,tg-c645,PRO,Error Map: x,0,computation
6,1167670190,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
7,1167670190,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
8,1167670190,tg-c648,PRO,Device Error Info Section,1,computation
9,1167670190,tg-c648,PRO,Error Map: x,1,computation
10,1167670195,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
11,1167670195,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
12,1167670195,tg-c648,PRO,Device Error Info Section,1,computation
13,1167670195,tg-c648,PRO,Error Map: x,1,computation
14,1167670200,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
15,1167670200,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
16,1167670200,tg-c648,PRO,Device Error Info Section,1,computation
17,1167670200,tg-c648,PRO,Error Map: x,1,computation
18,1167670205,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
19,1167670205,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
20,1167670205,tg-c648,PRO,Device Error Info Section,1,computation
21,1167670205,tg-c648,PRO,Error Map: x,1,computation
22,1167670210,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
23,1167670210,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
24,1167670210,tg-c648,PRO,Device Error Info Section,1,computation
25,1167670210,tg-c648,PRO,Error Map: x,1,computation
26,1167670211,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
27,1167670215,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
28,1167670215,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
29,1167670215,tg-c648,PRO,Device Error Info Section,1,computation
30,1167670215,tg-c648,PRO,Error Map: x,1,computation
31,1167670220,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
32,1167670220,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
33,1167670220,tg-c648,PRO,Device Error Info Section,1,computation
34,1167670220,tg-c648,PRO,Error Map: x,1,computation
35,1167670225,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
36,1167670225,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
37,1167670225,tg-c648,PRO,Device Error Info Section,1,computation
38,1167670225,tg-c648,PRO,Error Map: x,1,computation
39,1167670230,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
40,1167670230,tg-c648,PRO,Device Error Info Section,1,computation
41,1167670230,tg-c648,PRO,Error Map: x,1,computation
42,1167670231,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
43,1167670231,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
44,1167670235,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
45,1167670235,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
46,1167670235,tg-c648,PRO,Device Error Info Section,1,computation
47,1167670235,tg-c648,PRO,Error Map: x,1,computation
48,1167670236,tg-c648,PRO,Device Error Info Section,1,computation
49,1167670236,tg-c648,PRO,Error Map: x,1,computation
50,1167670241,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
51,1167670241,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
52,1167670241,tg-c648,PRO,Device Error Info Section,1,computation
53,1167670241,tg-c648,PRO,Error Map: x,1,computation
54,1167670244,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
55,1167670244,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
56,1167670244,tg-c648,PRO,Device Error Info Section,1,computation
57,1167670244,tg-c648,PRO,Error Map: x,1,computation
58,1167670246,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
59,1167670246,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
60,1167670246,tg-c648,PRO,Device Error Info Section,1,computation
61,1167670246,tg-c648,PRO,Error Map: x,1,computation
62,1167670249,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
63,1167670249,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
64,1167670249,tg-c648,PRO,Device Error Info Section,1,computation
65,1167670249,tg-c648,PRO,Error Map: x,1,computation
66,1167670251,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
67,1167670251,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
68,1167670251,tg-c648,PRO,Device Error Info Section,1,computation
69,1167670251,tg-c648,PRO,Error Map: x,1,computation
70,1167670254,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
71,1167670254,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
72,1167670254,tg-c648,PRO,Device Error Info Section,1,computation
73,1167670254,tg-c648,PRO,Error Map: x,1,computation
74,1167670256,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
75,1167670256,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
76,1167670256,tg-c648,PRO,Device Error Info Section,1,computation
77,1167670256,tg-c648,PRO,Error Map: x,1,computation
78,1167670259,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
79,1167670259,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
80,1167670259,tg-c648,PRO,Device Error Info Section,1,computation
81,1167670259,tg-c648,PRO,Error Map: x,1,computation
82,1167670261,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
83,1167670261,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
84,1167670261,tg-c648,PRO,Device Error Info Section,1,computation
85,1167670261,tg-c648,PRO,Error Map: x,1,computation
86,1167670264,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
87,1167670264,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
88,1167670264,tg-c648,PRO,Device Error Info Section,1,computation
89,1167670264,tg-c648,PRO,Error Map: x,1,computation
90,1167670266,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
91,1167670266,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
92,1167670266,tg-c648,PRO,Device Error Info Section,1,computation
93,1167670266,tg-c648,PRO,Error Map: x,1,computation
94,1167670269,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
95,1167670269,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
96,1167670269,tg-c648,PRO,Device Error Info Section,1,computation
97,1167670269,tg-c648,PRO,Error Map: x,1,computation
98,1167670271,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
99,1167670271,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
100,1167670271,tg-c648,PRO,Device Error Info Section,1,computation
101,1167670271,tg-c648,PRO,Error Map: x,1,computation
102,1167670274,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
103,1167670274,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
104,1167670274,tg-c648,PRO,Device Error Info Section,1,computation
105,1167670274,tg-c648,PRO,Error Map: x,1,computation
106,1167670275,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
107,1167670275,tg-c648,PRO,+END HARDWARE ERROR STATE AT CMC,1,computation
108,1167670275,tg-c648,PRO,Device Error Info Section,1,computation
109,1167670275,tg-c648,PRO,Error Map: x,1,computation
110,1167670280,tg-c648,PRO,+BEGIN HARDWARE ERROR STATE AT CMC,1,computation
