,Window,Tuples
0,10,4283
1,20,3032
2,30,2436
3,40,1986
4,50,1646
5,50,1646
6,51,1627
7,52,1602
8,53,1575
9,54,1544
10,55,1525
11,56,1509
12,57,1493
13,58,1470
14,59,1449
15,60,1428
16,60,1428
17,61,1283
18,62,1260
19,63,1237
20,64,1211
21,65,1193
22,66,1183
23,67,1172
24,68,1158
25,69,1145
26,70,1136
27,70,1136
28,71,1125
29,72,1119
30,73,1097
31,74,1079
32,75,1065
33,76,1060
34,77,1046
35,78,1040
36,79,1026
37,80,1016
38,80,1016
39,81,998
40,82,989
41,83,981
42,84,973
43,85,961
44,86,954
45,87,950
46,88,940
47,89,932
48,90,928
49,90,928
50,91,914
51,92,913
52,93,908
53,94,887
54,95,879
55,96,872
56,97,864
57,98,857
58,99,848
59,100,839
60,100,839
61,101,835
62,102,829
63,103,822
64,104,817
65,105,812
66,106,809
67,107,797
68,108,791
69,109,783
70,110,777
71,110,777
72,111,769
73,112,763
74,113,757
75,114,754
76,115,748
77,116,745
78,117,737
79,118,734
80,119,727
81,120,725
82,120,725
83,121,718
84,122,716
85,123,712
86,124,707
87,125,700
88,126,694
89,127,688
90,128,682
91,129,678
92,130,676
93,130,676
94,131,672
95,132,668
96,133,665
97,134,661
98,135,656
99,136,652
100,137,648
101,138,643
102,139,641
103,140,639
104,140,639
105,141,636
106,142,634
107,143,634
108,144,629
109,145,627
110,146,622
111,147,620
112,148,619
113,149,616
114,150,613
115,160,594
116,170,578
117,180,556
118,190,527
119,200,508
120,210,497
121,220,493
122,230,485
123,240,476
124,250,469
125,260,465
126,270,462
127,280,458
128,290,454
129,300,453
130,310,452
131,320,446
132,330,444
133,340,443
134,350,440
135,360,440
136,370,438
137,380,435
138,390,434
139,400,432
140,410,432
141,420,430
142,430,429
143,440,429
144,450,427
145,460,425
146,470,424
147,480,423
148,490,422
149,500,421
