procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0   7488 166988  31416 1178968    3   17  2321  1730 1080 1966 20 10 54 16  0
 0  0   7488 166988  31416 1178972    0    0     0     0   78  317  1  1 98  0  0
 0  0   7488 166988  31416 1178972    0    0     0     0   48  102  0  0 100  0  0
 1  0   7488 166988  31416 1178972    0    0     0    12   29   68  0  0 100  0  0
 1  0   7488 166988  31416 1178972    0    0     0     0   62  138  2  1 97  0  0
 0  0   7488 166988  31416 1178972    0    0     0     0   42  121  1  0 99  0  0
 0  0   7488 166988  31424 1178972    0    0     0    28   39   84  0  0 97  3  0
 0  0   7488 166988  31424 1178972    0    0     0     0 3109  961  5 22 72  0  0
 0  0   7488 166988  31424 1178972    0    0     0     0 1458 1053  2 12 86  0  0
 3  0   7488 165420  31424 1178976    0    0     0     0 1989  440  1 12 87  0  0
 0  0   7488 166736  31424 1178976    0    0     0     0 2086  335  0 16 84  0  0
 0  0   7488 166736  31424 1178976    0    0     0     0 1916  305  2 11 87  0  0
 0  0   7488 166484  31432 1178980    0    0     0    16 2155  331  0 12 87  1  0
 0  0   7488 166484  31432 1178980    0    0     0     0 3059  401  2 21 77  0  0
 0  0   7488 166200  31432 1178984    0    0     0     0 2240  370  0 19 81  0  0
 0  0   7488 166232  31432 1178984    0    0     0     0 1906  362  2 16 82  0  0
 0  0   7488 165980  31432 1178988    0    0     0     0 3036  362  1 19 80  0  0
 0  0   7488 165980  31440 1178988    0    0     0    16 2215  303  1 14 83  2  0
 0  0   7488 165972  31440 1178988    0    0     0     0 2642  364  0 16 84  0  0
 0  0   7488 165980  31440 1178996    0    0     0     0 3314  439  0 23 77  0  0
 0  0   7488 165980  31440 1178996    0    0     0     0 2152  340  0 14 86  0  0
 0  0   7488 165728  31440 1179000    0    0     0     0 1888  305  1 14 85  0  0
 1  0   7488 164504  31448 1178992    0    0     0    16 3207  410  1 22 77  0  0
 0  0   7488 165728  31448 1179004    0    0     0     0 2352  320  0 16 84  0  0
 0  0   7488 165728  31448 1179004    0    0     0     0 2173  304  2 13 85  0  0
 0  0   7488 165476  31448 1179008    0    0     0     0 3397  436  2 21 77  0  0
 0  0   7488 165476  31448 1179008    0    0     0     0 1991  288  0 16 84  0  0
 0  0   7488 165476  31456 1179012    0    0     0    16 2197  353  0 15 85  0  0
 0  0   7488 165476  31456 1179012    0    0     0     0 2680  365  1 23 76  0  0
 0  0   7488 165476  31456 1179016    0    0     0     0 1933  278  1  9 90  0  0
 0  0   7488 165476  31456 1179016    0    0     0     0 2502  326  0 16 84  0  0
 0  0   7488 165476  31456 1179020    0    0     0     0 3118  433  1 21 78  0  0
 0  0   7488 165476  31464 1179012    0    0     0    16 2194  337  1 13 81  5  0
 0  0   7488 165444  31464 1179024    0    0     0     0 2155  315  1 15 84  0  0
 0  0   7488 165476  31464 1179024    0    0     0     4 3110  409  2 19 79  0  0
 0  0   7488 165476  31464 1179028    0    0     0     0 1855  271  0 12 88  0  0
 1  0   7488 163420  31464 1179028    0    0     0     0 2507  354  0 16 84  0  0
 0  0   7488 165476  31472 1179032    0    0     0    24 2843  396  1 16 82  0  0
 1  0   7488 165476  31472 1179032    0    0     0     0 2471  323  0 17 83  0  0
 1  0   7488 165476  31472 1179036    0    0     0    84 2491  375  1 19 80  0  0
 0  0   7488 165468  31472 1179036    0    0     0     0 3419  388  1 22 77  0  0
 0  0   7488 165476  31472 1179036    0    0     0     0 2452  285  0 17 83  0  0
 1  0   7488 165476  31480 1179040    0    0     0    24 1942  295  1 14 82  3  0
 1  0   7488 165224  31480 1179044    0    0     0     0 3017  383  0 19 81  0  0
 0  0   7488 165224  31480 1179044    0    0     0     0 2529  309  1 17 82  0  0
 0  0   7488 165216  31480 1179048    0    0     0     0 1949  320  2 11 86  0  0
 0  0   7488 165224  31480 1179048    0    0     0     0 2917  369  0 19 81  0  0
 2  0   7488 165224  31488 1179052    0    0     0    16 2032  306  0 15 85  0  0
 0  0   7488 165224  31488 1179056    0    0     0     0 1354  261  1  9 90  0  0
 0  0   7488 165224  31488 1179060    0    0     0    36 2903  410  1 20 79  0  0
 0  0   7488 165224  31488 1179060    0    0     0     0 2483  328  0 17 83  0  0
 0  0   7488 165224  31488 1179064    0    0     0     0 2113  339  1 14 85  0  0
 1  0   7488 165224  31496 1179064    0    0     0    28 2624  393  0 17 83  0  0
 0  0   7488 165224  31496 1179068    0    0     0     0 2008  267  1 10 89  0  0
 1  0   7488 162516  31496 1179068    0    0     0     0 2206  311  2 16 82  0  0
 0  0   7488 164972  31496 1179072    0    0     0     0 2786  367  0 15 85  0  0
 0  0   7488 164972  31496 1179072    0    0     0     0 2949  364  1 19 80  0  0
 1  0   7488 164972  31504 1179076    0    0     0    16 2665  345  1 19 80  0  0
 0  0   7488 164972  31504 1179076    0    0     0     0 2440  371  1 19 80  0  0
 0  0   7488 164972  31504 1179080    0    0     0     0 2572  357  0 18 82  0  0
 0  0   7488 164964  31504 1179080    0    0     0     0 2269  293  1 14 85  0  0
 0  0   7488 164972  31504 1179080    0    0     0     0 2757  420  2 18 80  0  0
 0  0   7488 164972  31512 1179084    0    0     0    16 3068  398  1 19 77  3  0
 0  0   7488 164972  31512 1179088    0    0     0     0 2513  354  1 18 81  0  0
 0  0   7488 164972  31512 1179088    0    0     0     0 2851  366  0 17 83  0  0
 0  0   7488 164964  31512 1179088    0    0     0     0 2702  280  0 15 85  0  0
 0  0   7488 164972  31512 1179092    0    0     0     0 2438  283  0 15 85  0  0
 0  0   7488 164972  31520 1179096    0    0     0    16 3412  524  1 27 71  1  0
 0  0   7488 164972  31520 1179096    0    0     0     0 2574  388  1 20 79  0  0
 0  0   7488 164972  31520 1179100    0    0     0     0 3137  432  2 19 79  0  0
 0  0   7488 164972  31520 1179100    0    0     0     0 2960  401  1 21 78  0  0
 0  0   7488 164972  31520 1179104    0    0     0     0 2290  363  1 15 84  0  0
 1  0   7488 163556  31528 1179104    0    0     0    16 2983  444  0 20 80  0  0
 0  0   7488 164972  31528 1179108    0    0     0     0 2851  419  1 18 81  0  0
 0  0   7488 164972  31528 1179108    0    0     0     0 2239  386  1 16 83  0  0
 0  0   7488 164972  31528 1179112    0    0     0     0 3217  375  1 20 79  0  0
 0  0   7488 164972  31528 1179112    0    0     0     0 2482  411  0 17 83  0  0
 0  0   7488 164972  31528 1179116    0    0     0     0 2374  323  1 13 86  0  0
 0  0   7488 164972  31536 1179116    0    0     0    16 2725  368  0 20 72  8  0
 0  0   7488 164972  31536 1179124    0    0     0     0 2190  351  2 13 85  0  0
 0  0   7488 164972  31536 1179124    0    0     0    68 2079  336  0 15 85  0  0
 0  0   7488 164972  31536 1179128    0    0     0     0 3018  406  0 21 79  0  0
 0  0   7488 164972  31536 1179128    0    0     0     0 2088  315  0 13 87  0  0
 0  0   7488 164720  31544 1179132    0    0     0    24 1940  330  2 15 83  0  0
 3  0   7488 162176  31544 1179132    0    0     0     0 2160  324  0 18 82  0  0
 0  0   7488 164720  31544 1179136    0    0     0    12 2758  390  1 22 77  0  0
 0  0   7488 164720  31544 1179136    0    0     0     0 1977  322  1 14 85  0  0
 0  0   7488 164720  31544 1179140    0    0     0     0 2851  420  0 19 81  0  0
 0  0   7488 164720  31552 1179140    0    0     0    16 2158  322  1 12 86  1  0
 0  0   7488 164720  31552 1179144    0    0     0     0 1478  250  0 12 88  0  0
 0  0   7488 164720  31552 1179144    0    0     0     0 3237  340  1 18 81  0  0
 0  0   7488 164720  31552 1179148    0    0     0     0 2519  393  1 16 83  0  0
 0  0   7488 164720  31552 1179148    0    0     0     0 1440  297  0 11 89  0  0
 0  0   7488 164712  31560 1179152    0    0     0    16 3520  421  2 20 77  1  0
 0  0   7488 164720  31560 1179152    0    0     0     0 2265  372  1 16 83  0  0
 0  0   7488 164720  31560 1179156    0    0     0     0 1481  263  1  8 90  1  0
 0  0   7488 164720  31560 1179156    0    0     0     0 2872  310  0 17 83  0  0
 0  0   7488 164720  31560 1179160    0    0     0     0 2699  373  1 17 82  0  0
 0  0   7488 164712  31568 1179164    0    0     0    16 2462  331  0 17 83  0  0
 0  0   7488 164712  31568 1179168    0    0     0     0 3452  408  1 19 80  0  0
 0  0   7488 164720  31568 1179168    0    0     0     0 1852  308  1 13 86  0  0
 0  0   7488 164720  31568 1179172    0    0     0     0 3154  356  0 19 81  0  0
 0  0   7488 164712  31568 1179172    0    0     0     0 3073  363  1 19 80  0  0
