,Timestamp,ID-Node,Rack,Midplane,Node,Card,Card type,Message,Tuple
0,1128702415,R61-M1-N2,R61,M1,N2,J10-U11,computation, machine check interrupt (bit=0x06): L3 major internal error,0
1,1128702415,R61-M1-N2,R61,M1,N2,J10-U11,computation, instruction address: 0x0023d060,0
2,1128702416,R61-M1-N2,R61,M1,N2,J10-U11,computation, machine check status register: 0xa0000000,0
3,1128702416,R61-M1-N2,R61,M1,N2,J10-U11,computation, summary...........................1,0
4,1128702416,R61-M1-N2,R61,M1,N2,J10-U11,computation, instruction plb error.............0,0
5,1128702416,R61-M1-N2,R61,M1,N2,J10-U11,computation, data read plb error...............1,0
6,1128702417,R61-M1-N2,R61,M1,N2,J10-U11,computation, data write plb error..............0,0
7,1128702417,R61-M1-N2,R61,M1,N2,J10-U11,computation, tlb error.........................0,0
8,1128702417,R61-M1-N2,R61,M1,N2,J10-U11,computation, i-cache parity error..............0,0
9,1128702418,R61-M1-N2,R61,M1,N2,J10-U11,computation, d-cache search parity error.......0,0
10,1128702418,R61-M1-N2,R61,M1,N2,J10-U11,computation, d-cache flush parity error........0,0
11,1128702418,R61-M1-N2,R61,M1,N2,J10-U11,computation, imprecise machine check...........0,0
12,1128702418,R61-M1-N2,R61,M1,N2,J10-U11,computation, machine state register: 0x0002f900,0
13,1128702419,R61-M1-N2,R61,M1,N2,J10-U11,computation, wait state enable.................0,0
14,1128702419,R61-M1-N2,R61,M1,N2,J10-U11,computation, critical input interrupt enable...1,0
15,1128702419,R61-M1-N2,R61,M1,N2,J10-U11,computation, external input interrupt enable...1,0
16,1128702419,R61-M1-N2,R61,M1,N2,J10-U11,computation, problem state (0=sup,0
17,1128702420,R61-M1-N2,R61,M1,N2,J10-U11,computation, floating point instr. enabled.....1,0
18,1128702420,R61-M1-N2,R61,M1,N2,J10-U11,computation, machine check enable..............1,0
19,1128702420,R61-M1-N2,R61,M1,N2,J10-U11,computation, floating pt ex mode 0 enable......1,0
20,1128702429,R61-M1-N2,R61,M1,N2,J10-U11,computation, debug wait enable.................0,0
21,1128702442,R61-M1-N2,R61,M1,N2,J10-U11,computation, debug interrupt enable............0,0
22,1128702464,R61-M1-N2,R61,M1,N2,J10-U11,computation, floating pt ex mode 1 enable......1,0
23,1128719240,R06-M1-NE,R06,M1,NE,J11-U11,computation, machine check interrupt (bit=0x1d): L2 dcache unit data parity error,1
24,1128719240,R06-M1-NE,R06,M1,NE,J11-U11,computation, instruction address: 0x0023d1b8,1
25,1128719241,R06-M1-NE,R06,M1,NE,J11-U11,computation, machine check status register: 0x91800000,1
26,1128719241,R06-M1-NE,R06,M1,NE,J11-U11,computation, summary...........................1,1
27,1128719243,R06-M1-NE,R06,M1,NE,J11-U11,computation, instruction plb error.............0,1
28,1128719251,R06-M1-NE,R06,M1,NE,J11-U11,computation, data read plb error...............0,1
29,1128719270,R06-M1-NE,R06,M1,NE,J11-U11,computation, data write plb error..............1,1
30,1128719293,R06-M1-NE,R06,M1,NE,J11-U11,computation, tlb error.........................0,1
31,1128719316,R06-M1-NE,R06,M1,NE,J11-U11,computation, i-cache parity error..............0,1
32,1128747957,R23-M1-N0,R23,M1,N0,J17-U11,computation, machine check interrupt,2
33,1128747958,R23-M1-N0,R23,M1,N0,J17-U11,computation, instruction address: 0x0023d12c,2
34,1128747958,R23-M1-N0,R23,M1,N0,J17-U11,computation, machine check status register: 0x81000000,2
35,1128747958,R23-M1-N0,R23,M1,N0,J17-U11,computation, summary...........................1,2
36,1128747958,R23-M1-N0,R23,M1,N0,J17-U11,computation, instruction plb error.............0,2
37,1128747959,R23-M1-N0,R23,M1,N0,J17-U11,computation, data read plb error...............0,2
38,1128747959,R23-M1-N0,R23,M1,N0,J17-U11,computation, data write plb error..............0,2
39,1128747959,R23-M1-N0,R23,M1,N0,J17-U11,computation, tlb error.........................0,2
40,1128747959,R23-M1-N0,R23,M1,N0,J17-U11,computation, i-cache parity error..............0,2
41,1128747960,R23-M1-N0,R23,M1,N0,J17-U11,computation, d-cache search parity error.......0,2
42,1128747960,R23-M1-N0,R23,M1,N0,J17-U11,computation, d-cache flush parity error........1,2
43,1128747963,R23-M1-N0,R23,M1,N0,J17-U11,computation, imprecise machine check...........0,2
44,1128747995,R23-M1-N0,R23,M1,N0,J17-U11,computation, exception syndrome register: 0x01800000,3
45,1128748024,R23-M1-N0,R23,M1,N0,J17-U11,computation, machine check: i-fetch......................0,4
46,1128794394,R17-M0-N1,R17,M0,N1,J09-U11,computation, machine check interrupt,5
47,1128794394,R17-M0-N1,R17,M0,N1,J09-U11,computation, instruction address: 0x00016f20,5
48,1128794394,R17-M0-N1,R17,M0,N1,J09-U11,computation, machine check status register: 0x81000000,5
49,1128794395,R17-M0-N1,R17,M0,N1,J09-U11,computation, summary...........................1,5
50,1128794395,R17-M0-N1,R17,M0,N1,J09-U11,computation, instruction plb error.............0,5
51,1128794395,R17-M0-N1,R17,M0,N1,J09-U11,computation, data read plb error...............0,5
52,1128794395,R17-M0-N1,R17,M0,N1,J09-U11,computation, data write plb error..............0,5
53,1128794396,R17-M0-N1,R17,M0,N1,J09-U11,computation, tlb error.........................0,5
54,1128794396,R17-M0-N1,R17,M0,N1,J09-U11,computation, i-cache parity error..............0,5
55,1128794396,R17-M0-N1,R17,M0,N1,J09-U11,computation, d-cache search parity error.......0,5
56,1128794396,R17-M0-N1,R17,M0,N1,J09-U11,computation, d-cache flush parity error........1,5
57,1128794397,R17-M0-N1,R17,M0,N1,J09-U11,computation, imprecise machine check...........0,5
58,1128794397,R17-M0-N1,R17,M0,N1,J09-U11,computation, machine state register: 0x00003000,5
59,1128794397,R17-M0-N1,R17,M0,N1,J09-U11,computation, wait state enable.................0,5
60,1128794397,R17-M0-N1,R17,M0,N1,J09-U11,computation, critical input interrupt enable...0,5
61,1128794398,R17-M0-N1,R17,M0,N1,J09-U11,computation, external input interrupt enable...0,5
62,1128794398,R17-M0-N1,R17,M0,N1,J09-U11,computation, problem state (0=sup,5
63,1128794398,R17-M0-N1,R17,M0,N1,J09-U11,computation, floating point instr. enabled.....1,5
64,1128794398,R17-M0-N1,R17,M0,N1,J09-U11,computation, machine check enable..............1,5
65,1128794399,R17-M0-N1,R17,M0,N1,J09-U11,computation, floating pt ex mode 0 enable......0,5
66,1128794399,R17-M0-N1,R17,M0,N1,J09-U11,computation, debug wait enable.................0,5
67,1128794406,R17-M0-N1,R17,M0,N1,J09-U11,computation, debug interrupt enable............0,5
68,1128794424,R17-M0-N1,R17,M0,N1,J09-U11,computation, floating pt ex mode 1 enable......0,5
69,1128794452,R17-M0-N1,R17,M0,N1,J09-U11,computation, instruction address space.........0,6
70,1128800774,R23-M0-N2,R23,M0,N2,J14-U01,computation, machine check interrupt,7
71,1128800775,R23-M0-N2,R23,M0,N2,J14-U01,computation, instruction address: 0x001e4124,7
72,1128800775,R23-M0-N2,R23,M0,N2,J14-U01,computation, machine check status register: 0x81000000,7
73,1128800775,R23-M0-N2,R23,M0,N2,J14-U01,computation, summary...........................1,7
74,1128800775,R23-M0-N2,R23,M0,N2,J14-U01,computation, instruction plb error.............0,7
75,1128800776,R23-M0-N2,R23,M0,N2,J14-U01,computation, data read plb error...............0,7
76,1128800776,R23-M0-N2,R23,M0,N2,J14-U01,computation, data write plb error..............0,7
77,1128800776,R23-M0-N2,R23,M0,N2,J14-U01,computation, tlb error.........................0,7
78,1128800776,R23-M0-N2,R23,M0,N2,J14-U01,computation, i-cache parity error..............0,7
79,1128800777,R23-M0-N2,R23,M0,N2,J14-U01,computation, d-cache search parity error.......0,7
80,1128800777,R23-M0-N2,R23,M0,N2,J14-U01,computation, d-cache flush parity error........1,7
81,1128800777,R23-M0-N2,R23,M0,N2,J14-U01,computation, imprecise machine check...........0,7
82,1128800777,R23-M0-N2,R23,M0,N2,J14-U01,computation, machine state register: 0x0000f000,7
83,1128800778,R23-M0-N2,R23,M0,N2,J14-U01,computation, wait state enable.................0,7
84,1128800778,R23-M0-N2,R23,M0,N2,J14-U01,computation, critical input interrupt enable...0,7
85,1128800778,R23-M0-N2,R23,M0,N2,J14-U01,computation, external input interrupt enable...1,7
86,1128800787,R23-M0-N2,R23,M0,N2,J14-U01,computation, problem state (0=sup,7
87,1128800797,R23-M0-N2,R23,M0,N2,J14-U01,computation, floating point instr. enabled.....1,7
88,1128800817,R23-M0-N2,R23,M0,N2,J14-U01,computation, machine check enable..............1,7
89,1128800842,R23-M0-N2,R23,M0,N2,J14-U01,computation, floating pt ex mode 0 enable......0,8
